代號,名稱,年/月,平均售貨天數
1721,三晃,2024/06,130.65
1722,台肥,2024/06,82.3
1723,中碳,2024/06,78.41
1725,元禎,2024/06,6.64
1726,永記,2024/06,127.47
1727,中華化,2024/06,61.16
1730,花仙子,2024/06,84.09
1731,美吾華,2024/06,181.26
1732,毛寶,2024/06,100.21
1733,五鼎,2024/06,197.43
1734,杏輝,2024/06,162.6
1735,日勝化,2024/06,97.62
1736,喬山,2024/06,207.6
1737,臺鹽,2024/06,75.81
1742,台蠟,2024/06,63.35
1752,南光,2024/06,177.9
1760,寶齡富錦,2024/06,211.92
1762,中化生,2024/06,450.54
1773,勝一,2024/06,79.75
1776,展宇,2024/06,110.01
1777,生泰,2024/06,240.15
1780,立弘,2024/06,351.3
1781,合世,2024/06,123.78
1783,和康生,2024/06,145.34
1784,訊聯,2024/06,43.71
1785,光洋科,2024/06,187.23
1786,科妍,2024/06,154.42
1788,杏昌,2024/06,76.46
1789,神隆,2024/06,302.27
1795,美時,2024/06,183.68
1796,金穎生技,2024/06,157.58
1799,易威,2024/06,226.15
1802,台玻,2024/06,115.65
1805,寶徠,2024/06,"33,850.18"
1806,冠軍,2024/06,139.73
1808,潤隆,2024/06,"1,385.05"
1809,中釉,2024/06,120.59
1810,和成,2024/06,171.77
1813,寶利徠,2024/06,161.43
1815,富喬,2024/06,146.33
1817,凱撒衛,2024/06,160.27
1819,豐鼎,2024/06,305.71
1903,士紙,2024/06,85.32
1904,正隆,2024/06,102.27
1905,華紙,2024/06,98.66
1906,寶隆,2024/06,5.14
1907,永豐餘,2024/06,66.95
1909,榮成,2024/06,26.85
2002,中鋼,2024/06,120.65
2006,東和鋼鐵,2024/06,137.39
2007,燁興,2024/06,64.93
2008,高興昌,2024/06,195.13
2009,第一銅,2024/06,234
2010,春源,2024/06,65.93
2012,春雨,2024/06,175.15
2013,中鋼構,2024/06,30.06
2014,中鴻,2024/06,89.97
2015,豐興,2024/06,92.7
2017,官田鋼,2024/06,127.1
2020,美亞,2024/06,193.45
2022,聚亨,2024/06,125.54
2023,燁輝,2024/06,54.03
2024,志聯,2024/06,155.3
2025,千興,2024/06,143.56
2027,大成鋼,2024/06,260.93
2028,威致,2024/06,121.25
2029,盛餘,2024/06,58.55
2030,彰源,2024/06,137.33
2031,新光鋼,2024/06,179.86
2032,新鋼,2024/06,39.63
2033,佳大,2024/06,190.79
2034,允強,2024/06,144.95
2035,唐榮,2024/06,68.76
2038,海光,2024/06,94.31
2049,上銀,2024/06,164.04
2056,璋釔,2024/06,74.53
2059,川湖,2024/06,129.7
2061,風青,2024/06,45.86
2062,橋椿,2024/06,81.97
2063,世鎧,2024/06,201.9
2064,晉椿,2024/06,75.24
2065,世豐,2024/06,105.77
2066,世德,2024/06,219
2067,嘉鋼,2024/06,87.54
2069,運錩,2024/06,98.05
2070,精湛,2024/06,309.37
2071,震南鐵,2024/06,134.8
2072,世紀風電,2024/06,4.12
2073,雄順,2024/06,3.28
2101,南港,2024/06,"1,378.21"
2102,泰豐,2024/06,118.9
2103,台橡,2024/06,79.47
2104,國際中橡,2024/06,62.28
2105,正新,2024/06,86.21
2106,建大,2024/06,133.27
2107,厚生,2024/06,"1,016.3"
2108,南帝,2024/06,61.17
2109,華豐,2024/06,98.1
2114,鑫永銓,2024/06,82
2115,六暉-KY,2024/06,88.97
2201,裕隆,2024/06,81.11
2204,中華,2024/06,40.27
2206,三陽工業,2024/06,66.72
2207,和泰車,2024/06,26.24
2208,台船,2024/06,118.7
2211,長榮鋼,2024/06,174.25
2221,大甲,2024/06,181.78
2227,裕日車,2024/06,0
2228,劍麟,2024/06,103.26
2230,泰茂,2024/06,109.15
2231,為升,2024/06,164.35
2233,宇隆,2024/06,120.18
2235,謚源,2024/06,152.12
2237,華德動能,2024/06,198.21
2241,艾姆勒,2024/06,191.47
2245,詠勝昌,2024/06,174.73
2246,凱勝綠能,2024/06,243.09
2247,汎德永業,2024/06,31.95
2248,華勝-KY,2024/06,83.56
2249,湧盛,2024/06,50.69
2250,IKKA-KY,2024/06,50.52
2252,為昇科,2024/06,112.81
2254,巨鎧精密-創,2024/06,112.29
2255,凱銳光電,2024/06,186.76
2256,歐特明,2024/06,133.56
2258,鴻華先進-創,2024/06,32.12
2301,光寶科,2024/06,95.29
2302,麗正,2024/06,102.29
2303,聯電,2024/06,87.95
2305,全友,2024/06,108.1
2308,台達電,2024/06,103.55
2312,金寶,2024/06,52.03
2313,華通,2024/06,56.89
2314,台揚,2024/06,329.83
2316,楠梓電,2024/06,96.04
2317,鴻海,2024/06,52.04
2321,東訊,2024/06,85
2323,中環,2024/06,186.58
2324,仁寶,2024/06,39.6
2327,國巨,2024/06,124.17
2328,廣宇,2024/06,76.53
2329,華泰,2024/06,45.73
2330,台積電,2024/06,80.26
2331,精英,2024/06,53.47
2332,友訊,2024/06,101.36
2337,旺宏,2024/06,267.8
2338,光罩,2024/06,43.74
2340,台亞,2024/06,143.54
2342,茂矽,2024/06,76.48
2344,華邦電,2024/06,145.64
2345,智邦,2024/06,80.17
2347,聯強,2024/06,45.8
2348,海悅,2024/06,"1,366.25"
2349,錸德,2024/06,87.8
2351,順德,2024/06,159.96
2352,佳世達,2024/06,86.43
2353,宏碁,2024/06,79.51
2354,鴻準,2024/06,31.12
2355,敬鵬,2024/06,82.54
2356,英業達,2024/06,42.49
2357,華碩,2024/06,115.43
2359,所羅門,2024/06,280.02
2360,致茂,2024/06,211.74
2362,藍天,2024/06,63.41
2363,矽統,2024/06,325.66
2364,倫飛,2024/06,144.64
2365,昆盈,2024/06,93.99
2367,燿華,2024/06,57.81
2368,金像電,2024/06,86.81
2369,菱生,2024/06,18.99
2371,大同,2024/06,178.27
2373,震旦行,2024/06,76.41
2374,佳能,2024/06,69.83
2375,凱美,2024/06,115.99
2376,技嘉,2024/06,58.2
2377,微星,2024/06,83.72
2379,瑞昱,2024/06,84.2
2380,虹光,2024/06,121.93
2382,廣達,2024/06,53.92
2383,台光電,2024/06,62.1
2384,勝華,2024/06,0
2385,群光,2024/06,72.19
2387,精元,2024/06,52.88
2388,威盛,2024/06,114.59
2390,云辰,2024/06,425.11
2392,正崴,2024/06,72.25
2393,億光,2024/06,24.41
2395,研華,2024/06,101.69
2397,友通,2024/06,109.49
2399,映泰,2024/06,117.49
2401,凌陽,2024/06,146.17
2402,毅嘉,2024/06,56.48
2404,漢唐,2024/06,0.25
2405,輔信,2024/06,230.84
2406,國碩,2024/06,72.22
2408,南亞科,2024/06,265.72
2409,友達,2024/06,45.81
2412,中華電,2024/06,30.35
2413,環科,2024/06,226.72
2414,精技,2024/06,35.43
2415,錩新,2024/06,63.1
2417,圓剛,2024/06,161
2419,仲琦,2024/06,165.8
2420,新巨,2024/06,178.18
